aws-provisioner-v1⁄nss-win2012r2:             generic-worker  15.1.0  (revision  778862340976f46be65f3c7a5f2c94abbc9b7d35)
aws-provisioner-v1⁄deepspeech-win:            generic-worker  15.1.0  (revision  778862340976f46be65f3c7a5f2c94abbc9b7d35)
aws-provisioner-v1⁄deepspeech-win-b:          generic-worker  15.1.0  (revision  778862340976f46be65f3c7a5f2c94abbc9b7d35)
releng-hardware⁄gecko-t-win10-64-ref-hw:      generic-worker  14.1.2  (revision  13118c4c1ba10f863f39d6c623b3dd59ca6e0f00)
releng-hardware⁄gecko-t-win10-64-hw-dev:      generic-worker  14.1.2  (revision  13118c4c1ba10f863f39d6c623b3dd59ca6e0f00)
releng-hardware⁄gecko-t-osx-1010:             generic-worker  14.1.2  (revision  13118c4c1ba10f863f39d6c623b3dd59ca6e0f00)
releng-hardware⁄gecko-t-linux-talos:          generic-worker  14.1.2  (revision  13118c4c1ba10f863f39d6c623b3dd59ca6e0f00)
releng-hardware⁄gecko-t-linux-talos-b:        generic-worker  14.1.2  (revision  13118c4c1ba10f863f39d6c623b3dd59ca6e0f00)
bitbar⁄gecko-t-win64-aarch64-laptop:          generic-worker  14.1.2  (revision  13118c4c1ba10f863f39d6c623b3dd59ca6e0f00)
proj-servo⁄macos:                             generic-worker  14.1.1  (revision  a00c7d2c10526e16a960a6ee8dff8adf8f726af1)
aws-provisioner-v1⁄servo-win2016-staging:     generic-worker  14.1.0  (revision  081b7c0200fb915ccc08d0cace49712ebc6e23c3)
aws-provisioner-v1⁄servo-win2016:             generic-worker  14.1.0  (revision  081b7c0200fb915ccc08d0cace49712ebc6e23c3)
aws-provisioner-v1⁄relops-image-builder:      generic-worker  14.1.0  (revision  081b7c0200fb915ccc08d0cace49712ebc6e23c3)
aws-provisioner-v1⁄gecko-t-win10-64-gpu-a:    generic-worker  14.1.0  (revision  081b7c0200fb915ccc08d0cace49712ebc6e23c3)
aws-provisioner-v1⁄gecko-t-win10-64-alpha:    generic-worker  14.1.0  (revision  081b7c0200fb915ccc08d0cace49712ebc6e23c3)
aws-provisioner-v1⁄gecko-3-b-win2012-c5:      generic-worker  14.1.0  (revision  081b7c0200fb915ccc08d0cace49712ebc6e23c3)
aws-provisioner-v1⁄gecko-3-b-win2012-c4:      generic-worker  14.1.0  (revision  081b7c0200fb915ccc08d0cace49712ebc6e23c3)
releng-hardware⁄gecko-t-osx-1014-power:       generic-worker  13.0.3  (revision  4790b3e4a8b726daa41aa102091b53b192aa79ef)
releng-hardware⁄gecko-t-osx-1014-macstadium:  generic-worker  13.0.3  (revision  4790b3e4a8b726daa41aa102091b53b192aa79ef)
releng-hardware⁄gecko-t-osx-1014:             generic-worker  13.0.3  (revision  4790b3e4a8b726daa41aa102091b53b192aa79ef)
releng-hardware⁄gecko-t-osx-1014-beta:        generic-worker  13.0.3  (revision  4790b3e4a8b726daa41aa102091b53b192aa79ef)
